branch	cluster_0_distance	cluster_1_distance	cluster_2_distance	cluster_3_distance	cluster_4_distance
Branch_A	30.616943875621033	16.079191457882683	32.111592830781184	22.75435044353938	25.32209555445489
Branch_B	52.47947300847129	29.715519563645273	43.161081510895	40.238602238222	
Branch_C	79.68604169499523	66.19157657413902	62.635978198159776	46.410344311324465	
