subtype_class	subtype_name	unweighted_vote_count	weighted_vote_sum	soft_support_sum	final_selected
0	Subtype Alpha	2	0.9536481147576708	0.8994517378243891	yes
1	Subtype Beta	0	0.0	0.6526380760430841	no
2	Subtype Gamma	0	0.0	0.48294666194924496	no
3	Subtype Delta	1	0.1427032222332116	0.47972280114929244	no
