branch	distance_confidence	mapping_purity	feature_coverage	branch_reliability	outlier_penalty	final_vote_weight	explanation
Branch_A	0.22610372967810233	0.9643	1.0	1.0	0.85	0.18532705254930498	Combined son_model consensus weight for Branch_A
Branch_B	0.2126740605105445	0.9726	1.0	1.0	0.85	0.17581977256467224	Combined son_model consensus weight for Branch_B
Branch_C	0.40148349401323186	0.9902	1.0	0.85	1.0	0.33791661240611687	Combined son_model consensus weight for Branch_C
