branch	distance_confidence	mapping_purity	feature_coverage	branch_reliability	outlier_penalty	final_vote_weight	explanation
Branch_A	0.39005102329971864	0.9737	1.0	1.0	1.0	0.37979268138693606	Combined son_model consensus weight for Branch_A
Branch_B	0.2794290185520453	0.9726	1.0	1.0	0.85	0.2310067639271614	Combined son_model consensus weight for Branch_B
Branch_C	0.025445172148721898	1.0	1.0	0.85	0.85	0.01838413687745157	Combined son_model consensus weight for Branch_C
