unified_sample_key	branch_A_sample_id	branch_B_sample_id	branch_C_sample_id	raw_file_name	raw_file_path	uuid	mapping_method	mapping_confidence	mapping_status	notes
31	31	31	31	9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	9e09a872-f5f7-4cc1-bb08-07045fcd0c28	Verified_Row_Order	High	Verified	Independent manifest-based mapping
32	32	32	32	f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	f60c516c-6be7-4dda-9e46-46a87039c099	Verified_Row_Order	High	Verified	Independent manifest-based mapping
33	33	33	33	4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	4ebf51c8-f12e-4c83-9bba-414e5ba20e7c	Verified_Row_Order	High	Verified	Independent manifest-based mapping
34	34	34	34	2426bdbe-9a09-4ea1-b5eb-1ecb2c492898.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/2426bdbe-9a09-4ea1-b5eb-1ecb2c492898.rna_seq.augmented_star_gene_counts.tsv	2426bdbe-9a09-4ea1-b5eb-1ecb2c492898	Verified_Row_Order	High	Verified	Independent manifest-based mapping
35	35	35	35	51aea3a7-011d-4f8b-af00-fc7c169591d9.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/51aea3a7-011d-4f8b-af00-fc7c169591d9.rna_seq.augmented_star_gene_counts.tsv	51aea3a7-011d-4f8b-af00-fc7c169591d9	Verified_Row_Order	High	Verified	Independent manifest-based mapping
36	36	36	36	5237a678-9f82-4aa3-a874-39179cff6ba5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/5237a678-9f82-4aa3-a874-39179cff6ba5.rna_seq.augmented_star_gene_counts.tsv	5237a678-9f82-4aa3-a874-39179cff6ba5	Verified_Row_Order	High	Verified	Independent manifest-based mapping
37	37	37	37	336b678c-b044-4b16-aa80-82c9ab769326.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/336b678c-b044-4b16-aa80-82c9ab769326.rna_seq.augmented_star_gene_counts.tsv	336b678c-b044-4b16-aa80-82c9ab769326	Verified_Row_Order	High	Verified	Independent manifest-based mapping
38	38	38	38	69faa26c-4763-411b-affb-5eee559b70e1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/69faa26c-4763-411b-affb-5eee559b70e1.rna_seq.augmented_star_gene_counts.tsv	69faa26c-4763-411b-affb-5eee559b70e1	Verified_Row_Order	High	Verified	Independent manifest-based mapping
39	39	39	39	e36091c6-d62c-4997-bb9f-7192b73f12ed.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e36091c6-d62c-4997-bb9f-7192b73f12ed.rna_seq.augmented_star_gene_counts.tsv	e36091c6-d62c-4997-bb9f-7192b73f12ed	Verified_Row_Order	High	Verified	Independent manifest-based mapping
40	40	40	40	075029c6-31b2-4b4a-9945-b905fc6bf730.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/075029c6-31b2-4b4a-9945-b905fc6bf730.rna_seq.augmented_star_gene_counts.tsv	075029c6-31b2-4b4a-9945-b905fc6bf730	Verified_Row_Order	High	Verified	Independent manifest-based mapping
