branch	distance_confidence	mapping_purity	feature_coverage	branch_reliability	outlier_penalty	final_vote_weight	explanation
Branch_A	0.3915603485182786	0.8933	1.0	1.0	1.0	0.34978085933137826	Combined son_model consensus weight for Branch_A
Branch_B	0.18662421886621802	0.9726	1.0	1.0	0.85	0.15428410797889108	Combined son_model consensus weight for Branch_B
Branch_C	0.05060726200706421	0.9765	1.0	0.85	0.85	0.03570449875030145	Combined son_model consensus weight for Branch_C
