subtype_class	subtype_name	branch_A_support	branch_B_support	branch_C_support	total_support
3	Subtype Delta	0.38202025599008577	0.24036611834235055	0.31682215372691463	0.939208528059351
1	Subtype Beta	0.18600444110854605	0.2687601745348053	0.15793661626574648	0.6127012319090979
2	Subtype Gamma	0.20896318035963268	0.1501450616099089	0.14886477199334522	0.5079730139628869
0	Subtype Alpha	0.14597756888082183	0.12593474144281994	0.20560357451257616	0.47751588483621793
