subtype_class	subtype_name	branch_A_support	branch_B_support	branch_C_support	total_support
0	Subtype Alpha	0.3798419480262037	0.12542042312207546	0.41372390303791456	0.9189862741861936
1	Subtype Beta	0.2780147958484026	0.16320436921120854	0.15188750084880556	0.5931066659084167
2	Subtype Gamma	0.12405633338037603	0.162164846742106	0.16041070419332606	0.446631884315808
3	Subtype Delta	0.10981629504263708	0.19306333914381593	0.10312940421875116	0.4060090384052042
